Date/Time,PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),EMS:Weighted Average Building PPD [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep) 
 06/22  04:15:00,19.8451317934445,19.9725283687335,19.9763358277588,19.9398652740151,19.98981748882,20.366571943926,0.0,0.0 
 06/22  04:30:00,19.830578725407,19.9722395685419,20.0481034450662,20.0794517757533,19.9960582066098,20.3615551601578,0.0,0.0 
 06/22  04:45:00,19.8339859129141,19.9831274555389,20.2201413172929,20.3752190207196,20.0171257427141,20.3597717714835,0.0,0.0 
 06/22  05:00:00,19.8458053208877,20.0002756799244,20.4360819427494,20.6894223775796,20.0467112276337,20.3649607774527,0.0,0.0 
 06/22  05:15:00,19.8663279066583,20.0501627321436,20.7830180902448,21.1674020108455,20.1120777663057,20.3772146907012,0.0,0.0 
 06/22  05:30:00,19.898626859315,20.1217414843491,21.1464284299228,21.614639046337,20.1960796679803,20.3967592980946,0.0,0.0 
 06/22  05:45:00,19.943912221104,20.2082971113625,21.5735128135168,22.1016875688982,20.2973694430449,20.4229459708832,0.0,0.0 
 06/22  06:00:00,20.0048824417402,20.3082279699757,22.05939767654,22.5680900551562,20.4136122709366,20.4552100961186,0.0,0.0 
 06/22  06:15:00,20.1877756442669,20.0026425802116,20.4266877344853,21.4432677807413,20.0073990670908,20.060802029769,0.0,6359.94257756964 
 06/22  06:30:00,20.2226630623029,19.9994332115376,20.2948078270055,21.4174612223721,20.0010922609256,20.0019708021746,0.0,6585.45508968158 
 06/22  06:45:00,20.2914979854538,20.0003244517209,20.429605237491,21.5482130182727,20.0009413379693,19.9988625541516,0.0,6725.12455997495 
 06/22  07:00:00,20.400038071212,19.9985563285236,20.5967501111203,21.6483036222602,19.9998480066199,20.0009965733069,0.0,6812.98610133617 
 06/22  07:15:00,20.5192709886799,19.9995941488309,20.8034793187792,21.7406853365667,20.0013243756488,20.0013195767927,0.0,6904.02645391763 
 06/22  07:30:00,20.6478717516594,20.0003408748407,21.0435666504442,21.8323983704564,19.9977998617425,20.0011268968751,0.0,6996.85235740019 
 06/22  07:45:00,20.7820786426028,20.0001435701285,21.2099022569379,21.8538538037964,20.0026606384254,20.0007340659553,0.0,7084.25064999045 
 06/22  08:00:00,20.9180650506012,19.9991533429314,21.2969221525474,21.8102652150624,20.0007606327929,19.9999003439074,0.0,7172.6333250968 
 06/22  08:15:00,21.5526865391519,20.9046137731716,22.2308087996306,22.3397177127516,20.4570710060188,21.0599490759158,8.02527993862681,7348.16926146957 
 06/22  08:30:00,22.1118021606355,21.5642081368451,22.3627888703282,22.3660255946135,20.7751706134692,22.0603427981817,7.34212623549837,7766.11235012433 
 06/22  08:45:00,22.4579988890826,21.8083277201872,22.3682517473281,22.367389024939,20.9479113160275,22.2312048599966,6.11853898249969,8072.62510910017 
 06/22  09:00:00,22.7886884636965,22.2381061080159,22.3691770115639,22.36770046485,21.1649937991438,22.3610979947085,5.58514110534112,8317.54030042004 
 06/22  09:15:00,23.1596365969542,22.4416784877061,23.3955218385016,23.1685149475046,21.3047414142657,22.777676301173,5.55685601523507,8166.11832885362 
 06/22  09:30:00,23.5415743014348,22.6542940287208,23.7629621035133,23.6056114142563,21.4413975493362,23.0386896258648,5.58995784217002,8020.09244056583 
 06/22  09:45:00,23.8764501551792,22.8297032818948,23.884131201654,23.77772061413,21.545104617093,23.2265015231042,6.37572125223358,8041.30943651999 
 06/22  10:00:00,24.2069779590802,23.0588418733615,23.8937112007589,23.8870746473383,21.6590674670293,23.5226269427248,6.95551874139837,8137.64933316992 
 06/22  10:15:00,23.4424327028458,20.9497882835212,21.0064598532493,21.3050111229885,20.6364603502978,21.474817997402,7.31235784054525,11092.5373463427 
 06/22  10:30:00,22.8361075500469,20.6531514657187,20.6663698042493,20.8572738613928,20.6200706350717,20.9146881791855,7.68723287269912,12810.1017900275 
 06/22  10:45:00,22.5698543752815,20.6192638588922,20.6216652995795,20.6236672736862,20.6195571394593,20.6238062435389,5.23509539080746,12929.6573716947 
 06/22  11:00:00,22.6151074503222,20.6187136305514,20.6201171882788,20.6198384151261,20.6195543019648,20.6203356691131,5.31961849446515,12352.1079089375 
 06/22  11:15:00,23.6175688963988,22.0170223057504,22.6813076083216,22.2845150241555,21.3848329146811,21.9157440914697,5.4669580196906,10240.3847273923 
